trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9801986733067553}",30,1,-182.97469228550338,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 3}",1
2,False,"{'a': 0.3, 'e': 0.9607894391523232}",20,7,-121.03954405111895,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 2}",1
3,False,"{'a': 0.3, 'e': 0.9417645335842487}",35,0,-130.18034026656005,"{0: 22, 1: 4, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.9231163463866358}",35,0,-63.49464395988446,"{0: 23, 1: 6, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.9048374180359595}",20,0,-36.121907083806924,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.8869204367171575}",30,0,-199.39752573430147,"{0: 18, 1: 5, 2: 2, 3: 1, 4: 4}",0
7,False,"{'a': 0.3, 'e': 0.8693582353988059}",20,0,-89.07429740831842,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.8521437889662113}",20,12,4.213328708971301,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.835270211411272}",30,0,-112.3375652320881,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.8187307530779818}",25,0,-101.93294262585299,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.8025187979624785}",25,3,-79.20768645514731,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.3, 'e': 0.7866278610665535}",20,0,-56.7952469238874,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.7710515858035663}",25,0,-151.08475820499683,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.7557837414557255}",20,0,-22.217267322446695,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.7408182206817179}",25,0,-165.3761695701913,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.3, 'e': 0.7261490370736909}",25,12,5.679818848003051,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.3, 'e': 0.7117703227626097}",30,0,-137.02389598028824,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.3, 'e': 0.697676326071031}",25,0,-38.36975072965474,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.6838614092123558}",20,0,-90.18720863594378,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.3, 'e': 0.6703200460356393}",25,0,-84.08143319349561,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.3, 'e': 0.6570468198150567}",25,0,8.077350700828024,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.3, 'e': 0.6440364210831414}",35,6,-111.20276377026637,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 2}",1
23,False,"{'a': 0.3, 'e': 0.631283645506926}",20,9,-33.07755163674605,"{0: 6, 1: 3, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.3, 'e': 0.6187833918061408}",20,0,-47.27341847985535,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.3, 'e': 0.6065306597126334}",25,12,13.646518113059425,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.3, 'e': 0.5945205479701944}",25,0,-58.50915884188091,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
27,False,"{'a': 0.3, 'e': 0.5827482523739896}",20,0,-96.48997422399282,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.5712090638488149}",25,0,-7.042662874401512,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.3, 'e': 0.559898366565402}",25,0,-79.30223712093849,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
30,False,"{'a': 0.3, 'e': 0.5488116360940264}",35,12,-80.24467987336887,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 1}",1
31,False,"{'a': 0.3, 'e': 0.5379444375946745}",30,0,3.736459575828829,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.3, 'e': 0.5272924240430485}",20,9,-4.94475719678728,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.3, 'e': 0.5168513344916992}",20,8,-47.04065541023621,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.3, 'e': 0.5066169923655895}",20,0,-60.53919908907571,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
