trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,8,-62.59901981716514,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-190.60476194139227,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-51.74326905215737,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-98.0227505815998,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-126.63418827919222,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-141.64191832831835,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-43.257454212380885,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-77.77904190004602,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-42.59966649189429,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-98.1062601027705,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-141.81319167050444,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-149.80219931301528,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-138.5099154482032,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-149.115178542267,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-202.69623861085833,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,4,-22.41868292176388,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-80.05028392303186,"{0: 8, 1: 6, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-123.92009320092882,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-142.18928199264778,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-159.8508496946357,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-205.28216088474045,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-97.81730292960137,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,4,-175.80449312209498,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",20,0,-60.56901312923382,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,23,11.95139842033954,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-128.61187158365178,"{0: 11, 1: 5, 2: 6, 3: 3, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-196.08095085025693,"{0: 13, 1: 9, 2: 5, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-160.74028905971912,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-114.943558909478,"{0: 18, 1: 6, 2: 3, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-225.98943532518757,"{0: 10, 1: 3, 2: 8, 3: 1, 4: 3}",0
